URL,Comment
https://www.healthcare.gov/help/,Hopefully someone will help me.
https://www.healthcare.gov/help/,Doesn't answere my question about changing my application.
https://www.healthcare.gov/help/,"I emailed 2 different local consultants listed on this page.  Both messages came back ""Undeliverable.""  I hoped that email would be more efficient than getting caught up in telephone hell. Clearly that isn't the case."
https://www.healthcare.gov/help/,"I am trying to Upload my documents , it is selected the file that I want , But it never say me that I have uploaded successfully. I had worst experience. Hopefully at least my mail will reach successful"
https://www.healthcare.gov/help/,"I am trying to comply with your requirements to upload proof of income, however I cannot locate where or how to do this.  
Please advise."
https://www.healthcare.gov/help/,After logging into the site I hit see plans...all I get is my eligibility report which is 16 pages long. I already know what I'm eligible for. I just want to choose a plan but I'm not able to do that because the page you take me to when I hit CHOOSE A PLAN will only take me to ELIGIBILITY.
https://www.healthcare.gov/help/,This page is asking if I have Health care now but doesnt have a spot for the government health care  . I guess I have to mark no since it's not anything listed there but this section is very confusing.
https://www.healthcare.gov/help/,"I've repeatedly tried to verify my identity. I've uploaded documents several times but nothing has changed. And nowhere on this useless website does it tell me anything about verifying my identity. I don't know how long it will take, or if there's anyway for me to know if what I did worked. All I know is that I think I'd rather just take out more loans to get healthcare through my school than deal with this bull. Thanks Obama."
https://www.healthcare.gov/help/,how to remove family members who are no longer dependants
https://www.healthcare.gov/help/,"Why is this so confusing?  When I click “Continue to Enrollment” nothing happens.  I assume that’s the button for selecting a program, but nothings happens.  This should be idiot-proof.  Who wants to call an 800 number in order to pick a policy?  Not I."
https://www.healthcare.gov/help/,"I have sent two verifiers through postal mail, which were a copy of my birth certificate and a copy of my Driver's Permit.   The Driver's Permit has my picture and other personal information.   These two verifiers should have already reached your office.  Please check to see if they have.  Thank you for your attention.
-Daniel Langston Walton   (12-13-16"
https://www.healthcare.gov/help/,I need help removing a daughter from my application. give a link to assist with that.
https://www.healthcare.gov/help/,It would be extremely helpful for you to put information related to inability to see eligibility results or continue with application when the pdf documents will not load!! Many of us don't know where to go from here and call waiting is TOO long!
https://www.healthcare.gov/help/,"Other questions besides help with an application. Example: Have you enrolled in Medicare? Do you no longer need the Marketplace? Are you eligible for Medicare? 

I need to tell you I am now in Medicare and no longer need reminder emails. HOWEVER, I want to keep access to my documents and messages for a few more years. How do I do that online or must I call in? 

"
https://www.healthcare.gov/help/,Allow me to get to the confirmation page of my plans so that I can find out where/how to pay my first premium!  This page mentions nothing about that.
https://www.healthcare.gov/help/,Provide real time chat feature to answer questions without having to wait for call back at uncertain time.  It will make it easier to complete application when info requested is unclear.
